ENSMUSG00000064842	Gm26206	Gene Expression
ENSMUSG00000051951	Xkr4	Gene Expression
ENSMUSG00000089699	Gm1992	Gene Expression
ENSMUSG00000088333	Gm22848	Gene Expression
ENSMUSG00000025900	Rp1	Gene Expression
ENSMUSG00000025902	Sox17	Gene Expression
ENSMUSG00000096126	Gm22307	Gene Expression
ENSMUSG00000088000	Gm25493	Gene Expression
ENSMUSG00000033845	Mrpl15	Gene Expression
ENSMUSG00000025903	Lypla1	Gene Expression
ENSMUSG00000033813	Tcea1	Gene Expression
ENSMUSG00000062588	Gm6104	Gene Expression
ENSMUSG00000002459	Rgs20	Gene Expression
ENSMUSG00000085623	Gm16041	Gene Expression
ENSMUSG00000033793	Atp6v1h	Gene Expression
ENSMUSG00000025905	Oprk1	Gene Expression
ENSMUSG00000093015	Gm22463	Gene Expression
ENSMUSG00000033774	Npbwr1	Gene Expression
ENSMUSG00000025907	Rb1cc1	Gene Expression
ENSMUSG00000090031	4732440D04Rik	Gene Expression
ENSMUSG00000073741	4732440D04Rik	Gene Expression
ENSMUSG00000087247	Fam150a	Gene Expression
ENSMUSG00000033740	St18	Gene Expression
ENSMUSG00000051285	Pcmtd1	Gene Expression
ENSMUSG00000077244	Gm23274	Gene Expression
ENSMUSG00000097797	Gm26901	Gene Expression
ENSMUSG00000025909	Sntg1	Gene Expression
ENSMUSG00000093970	Gm23358	Gene Expression
ENSMUSG00000076135	Gm24276	Gene Expression
ENSMUSG00000065625	Gm24765	Gene Expression
ENSMUSG00000061024	Rrs1	Gene Expression
ENSMUSG00000025911	Adhfe1	Gene Expression
ENSMUSG00000079671	2610203C22Rik	Gene Expression
ENSMUSG00000067879	3110035E14Rik	Gene Expression
ENSMUSG00000025912	Mybl1	Gene Expression
ENSMUSG00000045210	Vcpip1	Gene Expression
ENSMUSG00000097893	1700034P13Rik	Gene Expression
ENSMUSG00000025915	Sgk3	Gene Expression
ENSMUSG00000088916	Gm22607	Gene Expression
ENSMUSG00000046101	Mcmdc2	Gene Expression
ENSMUSG00000098234	Snhg6	Gene Expression
ENSMUSG00000093178	Snord87	Gene Expression
ENSMUSG00000099032	Tcf24	Gene Expression
ENSMUSG00000073738	Gm10567	Gene Expression
ENSMUSG00000025916	Ppp1r42	Gene Expression
ENSMUSG00000087199	Gm15818	Gene Expression
ENSMUSG00000095780	Gm24674	Gene Expression
ENSMUSG00000025917	Cops5	Gene Expression
ENSMUSG00000056763	Cspp1	Gene Expression
ENSMUSG00000067851	Arfgef1	Gene Expression
ENSMUSG00000088153	Gm26348	Gene Expression
ENSMUSG00000042501	Cpa6	Gene Expression
ENSMUSG00000094979	Gm25253	Gene Expression
ENSMUSG00000088585	Gm22963	Gene Expression
ENSMUSG00000048960	Prex2	Gene Expression
ENSMUSG00000077318	Gm24173	Gene Expression
ENSMUSG00000057715	A830018L16Rik	Gene Expression
ENSMUSG00000095719	A830018L16Rik	Gene Expression
ENSMUSG00000093864	Gm22633	Gene Expression
ENSMUSG00000098555	mmu-mir-6341	Gene Expression
ENSMUSG00000097171	Gm17644	Gene Expression
ENSMUSG00000016918	Sulf1	Gene Expression
ENSMUSG00000025938	Slco5a1	Gene Expression
ENSMUSG00000069620	Gm5250	Gene Expression
ENSMUSG00000042414	Prdm14	Gene Expression
ENSMUSG00000005886	Ncoa2	Gene Expression
ENSMUSG00000099183	AC121538.1	Gene Expression
ENSMUSG00000087782	Gm23169	Gene Expression
ENSMUSG00000025935	Tram1	Gene Expression
ENSMUSG00000025937	Lactb2	Gene Expression
ENSMUSG00000067813	Xkr9	Gene Expression
ENSMUSG00000077368	Gm26273	Gene Expression
ENSMUSG00000089358	Gm25491	Gene Expression
ENSMUSG00000025932	Eya1	Gene Expression
ENSMUSG00000095853	Gm22616	Gene Expression
ENSMUSG00000025930	Msc	Gene Expression
ENSMUSG00000054493	Gm9947	Gene Expression
ENSMUSG00000032769	Trpa1	Gene Expression
ENSMUSG00000088159	Gm26345	Gene Expression
ENSMUSG00000092083	Kcnb2	Gene Expression
ENSMUSG00000088829	Gm25227	Gene Expression
ENSMUSG00000090498	Kcnb2	Gene Expression
ENSMUSG00000077377	Gm25168	Gene Expression
ENSMUSG00000025925	Terf1	Gene Expression
ENSMUSG00000032719	Sbspon	Gene Expression
ENSMUSG00000088943	Gm23259	Gene Expression
ENSMUSG00000067795	4930444P10Rik	Gene Expression
ENSMUSG00000043716	Rpl7	Gene Expression
ENSMUSG00000025921	Rdh10	Gene Expression
ENSMUSG00000025920	Stau2	Gene Expression
ENSMUSG00000089982	Gm7568	Gene Expression
ENSMUSG00000025939	Ube2w	Gene Expression
ENSMUSG00000079658	Tceb1	Gene Expression
ENSMUSG00000097744	D030040B21Rik	Gene Expression
ENSMUSG00000025940	Tmem70	Gene Expression
ENSMUSG00000025779	Ly96	Gene Expression
ENSMUSG00000091020	Gm5828	Gene Expression
ENSMUSG00000042686	Jph1	Gene Expression
ENSMUSG00000025777	Gdap1	Gene Expression
ENSMUSG00000089534	Gm25166	Gene Expression
ENSMUSG00000067780	Pi15	Gene Expression
ENSMUSG00000085125	Gm16070	Gene Expression
ENSMUSG00000025776	Crispld1	Gene Expression
ENSMUSG00000025774	Crisp4	Gene Expression
ENSMUSG00000073735	Defb18	Gene Expression
ENSMUSG00000067773	Defb41	Gene Expression
ENSMUSG00000089923	Gm15386	Gene Expression
ENSMUSG00000088800	Gm24075	Gene Expression
ENSMUSG00000089787	Gm15825	Gene Expression
ENSMUSG00000042596	Tfap2d	Gene Expression
ENSMUSG00000025927	Tfap2b	Gene Expression
ENSMUSG00000084668	Gm24633	Gene Expression
ENSMUSG00000077860	Gm25568	Gene Expression
ENSMUSG00000043760	Pkhd1	Gene Expression
ENSMUSG00000089914	4930486I03Rik	Gene Expression
ENSMUSG00000070175	Gm24162	Gene Expression
ENSMUSG00000065559	Mir206	Gene Expression
ENSMUSG00000065480	Mir133b	Gene Expression
ENSMUSG00000025929	Il17a	Gene Expression
ENSMUSG00000041872	Il17f	Gene Expression
ENSMUSG00000041859	Mcm3	Gene Expression
ENSMUSG00000088858	Gm24723	Gene Expression
ENSMUSG00000097934	6720483E21Rik	Gene Expression
ENSMUSG00000025931	Paqr8	Gene Expression
ENSMUSG00000077314	Gm24171	Gene Expression
ENSMUSG00000041809	Efhc1	Gene Expression
ENSMUSG00000041779	Tram2	Gene Expression
ENSMUSG00000025933	Tmem14a	Gene Expression
ENSMUSG00000025934	Gsta3	Gene Expression
ENSMUSG00000096375	Gm7094	Gene Expression
ENSMUSG00000067750	Khdc1a	Gene Expression
ENSMUSG00000041722	Khdc1c	Gene Expression
ENSMUSG00000085079	Khdc1b	Gene Expression
ENSMUSG00000028033	Kcnq5	Gene Expression
ENSMUSG00000097109	Gm26580	Gene Expression
ENSMUSG00000041670	Rims1	Gene Expression
ENSMUSG00000073730	4933415F23Rik	Gene Expression
ENSMUSG00000089553	Gm24176	Gene Expression
ENSMUSG00000073729	Gm6420	Gene Expression
ENSMUSG00000065405	Mir30a	Gene Expression
ENSMUSG00000097970	Gm27028	Gene Expression
ENSMUSG00000065567	Mir30c-2	Gene Expression
ENSMUSG00000026158	Ogfrl1	Gene Expression
ENSMUSG00000026156	B3gat2	Gene Expression
ENSMUSG00000026155	Smap1	Gene Expression
ENSMUSG00000026154	1110058L19Rik	Gene Expression
ENSMUSG00000096985	Gm26524	Gene Expression
ENSMUSG00000026153	Fam135a	Gene Expression
ENSMUSG00000026147	Col9a1	Gene Expression
